amfi_code,scheme_name,cagr_1yr,cagr_3yr,cagr_5yr
100016,HDFC Top 100 Fund - Regular Plan - Growth,-222.0,129.0,232.0
100025,HDFC Short Term Debt Fund - Regular - Growth,370.0,392.0,391.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,5323.0,3244.0,2607.0
101206,ABSL Frontline Equity Fund - Regular - Growth,4792.0,2897.0,2044.0
101207,ABSL Small Cap Fund - Regular - Growth,-2399.0,-415.0,695.0
101208,ABSL Liquid Fund - Regular - Growth,724.0,632.0,571.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,2021.0,1967.0,1588.0
102886,UTI Mid Cap Fund - Regular - Growth,-1680.0,-77.0,103.0
102887,UTI Flexi Cap Fund - Regular - Growth,1358.0,2556.0,1468.0
118632,Nippon India Large Cap Fund - Regular - Growth,3398.0,2265.0,2088.0
118633,Nippon India Large Cap Fund - Direct - Growth,2554.0,2109.0,1419.0
118634,Nippon India Small Cap Fund - Regular - Growth,1581.0,801.0,1427.0
118635,Nippon India ETF Nifty 50 BeES,2249.0,2001.0,1391.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,1045.0,406.0,466.0
119092,Axis Bluechip Fund - Regular - Growth,161.0,53.0,558.0
119093,Axis Bluechip Fund - Direct - Growth,1977.0,2082.0,692.0
119094,Axis Midcap Fund - Regular - Growth,2226.0,3511.0,2445.0
119095,Axis Small Cap Fund - Regular - Growth,-4280.0,-1171.0,134.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,552.0,584.0,516.0
119551,SBI Bluechip Fund - Regular Plan - Growth,6044.0,3046.0,2238.0
119552,SBI Bluechip Fund - Direct Plan - Growth,571.0,1627.0,1871.0
119598,SBI Small Cap Fund - Regular Plan - Growth,8278.0,2667.0,2803.0
119599,SBI Small Cap Fund - Direct Plan - Growth,1395.0,-134.0,181.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,849.0,1398.0,1636.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,1306.0,3249.0,2023.0
120505,ICICI Pru Midcap Fund - Regular - Growth,2960.0,3178.0,2838.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,4182.0,1842.0,1489.0
120507,ICICI Pru Liquid Fund - Regular - Growth,743.0,739.0,634.0
120841,Kotak Bluechip Fund - Regular - Growth,1684.0,1727.0,1182.0
120842,Kotak Emerging Equity Fund - Regular - Growth,2250.0,776.0,587.0
120843,Kotak Flexicap Fund - Regular - Growth,2666.0,2958.0,2674.0
120844,Kotak Liquid Fund - Regular - Growth,712.0,670.0,606.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,2868.0,1843.0,1656.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,1544.0,1125.0,988.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,2036.0,3400.0,2680.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1427.0,1475.0,1957.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,3975.0,2918.0,2763.0
149322,DSP Top 100 Equity Fund - Regular - Growth,1811.0,1804.0,1170.0
149323,DSP Midcap Fund - Regular - Growth,2148.0,2687.0,2561.0
149324,DSP Small Cap Fund - Regular - Growth,6514.0,2700.0,2792.0
