amfi_code,scheme_name,sharpe_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.448
120843,Kotak Flexicap Fund - Regular - Growth,1.307
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1.235
119551,SBI Bluechip Fund - Regular Plan - Growth,1.208
120505,ICICI Pru Midcap Fund - Regular - Growth,1.18
149323,DSP Midcap Fund - Regular - Growth,1.132
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.094
118632,Nippon India Large Cap Fund - Regular - Growth,1.082
101206,ABSL Frontline Equity Fund - Regular - Growth,1.027
120504,ICICI Pru Bluechip Fund - Direct - Growth,1.027
119094,Axis Midcap Fund - Regular - Growth,0.998
119552,SBI Bluechip Fund - Direct Plan - Growth,0.953
149324,DSP Small Cap Fund - Regular - Growth,0.95
119598,SBI Small Cap Fund - Regular Plan - Growth,0.945
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.926
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.817
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.798
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.776
118635,Nippon India ETF Nifty 50 BeES,0.665
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.649
118633,Nippon India Large Cap Fund - Direct - Growth,0.645
102887,UTI Flexi Cap Fund - Regular - Growth,0.62
120507,ICICI Pru Liquid Fund - Regular - Growth,0.496
120841,Kotak Bluechip Fund - Regular - Growth,0.494
149322,DSP Top 100 Equity Fund - Regular - Growth,0.464
118634,Nippon India Small Cap Fund - Regular - Growth,0.448
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.301
101207,ABSL Small Cap Fund - Regular - Growth,0.163
119093,Axis Bluechip Fund - Direct - Growth,0.13
120842,Kotak Emerging Equity Fund - Regular - Growth,0.076
119092,Axis Bluechip Fund - Regular - Growth,0.031
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.057
119095,Axis Small Cap Fund - Regular - Growth,-0.076
120844,Kotak Liquid Fund - Regular - Growth,-0.089
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.202
102886,UTI Mid Cap Fund - Regular - Growth,-0.206
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.227
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.357
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.567
101208,ABSL Liquid Fund - Regular - Growth,-0.816
