investor_id,Missed_SIPs,Maximum_Gap,Average_Gap
INV000001,1,71.0,71.0
INV000002,4,114.0,100.5
INV000003,1,238.0,238.0
INV000004,3,265.0,124.33333333333333
INV000005,2,167.0,144.5
INV000006,3,295.0,153.0
INV000007,3,177.0,135.0
INV000008,5,107.0,60.2
INV000009,5,162.0,96.2
INV000010,3,121.0,69.66666666666667
INV000011,5,122.0,75.4
INV000012,5,104.0,65.6
INV000013,3,99.0,86.33333333333333
INV000014,5,119.0,77.2
INV000015,1,127.0,127.0
INV000016,2,122.0,87.5
INV000017,3,264.0,131.33333333333334
INV000018,3,234.0,110.33333333333333
INV000019,1,406.0,406.0
INV000020,3,122.0,91.0
INV000021,3,137.0,120.66666666666667
INV000022,5,178.0,95.8
INV000023,4,115.0,78.75
INV000024,3,167.0,85.0
INV000026,3,145.0,124.66666666666667
INV000027,3,140.0,104.66666666666667
INV000028,4,232.0,106.75
INV000029,4,71.0,57.25
INV000030,5,92.0,63.6
INV000031,2,262.0,198.5
INV000032,5,166.0,88.6
INV000033,7,87.0,64.85714285714286
INV000034,2,62.0,52.0
INV000035,1,144.0,144.0
INV000036,1,99.0,99.0
INV000037,3,126.0,82.0
INV000038,3,183.0,120.33333333333333
INV000039,5,94.0,63.0
INV000040,5,118.0,74.4
INV000041,4,144.0,77.25
INV000043,2,286.0,181.0
INV000044,3,290.0,136.33333333333334
INV000045,5,70.0,51.6
INV000046,3,292.0,123.0
INV000047,3,115.0,77.66666666666667
INV000048,4,120.0,64.75
INV000049,2,425.0,247.5
INV000050,1,129.0,129.0
INV000051,3,167.0,95.0
INV000052,5,129.0,78.8
INV000054,5,103.0,67.0
INV000055,5,107.0,61.6
INV000056,6,161.0,74.66666666666667
INV000057,5,65.0,53.8
INV000058,3,121.0,88.0
INV000060,1,90.0,90.0
INV000061,2,179.0,114.5
INV000062,5,148.0,85.8
INV000063,1,403.0,403.0
INV000065,5,122.0,91.8
INV000066,2,115.0,88.0
INV000069,4,110.0,75.5
INV000070,3,157.0,113.66666666666667
INV000071,1,56.0,56.0
INV000072,4,188.0,89.25
INV000073,4,112.0,73.25
INV000074,4,191.0,105.75
INV000075,6,87.0,62.333333333333336
INV000076,4,148.0,100.0
INV000077,1,87.0,87.0
INV000078,3,231.0,153.0
INV000079,5,120.0,82.8
INV000080,2,167.0,103.0
INV000081,5,167.0,83.4
INV000082,3,225.0,131.66666666666666
INV000083,1,180.0,180.0
INV000084,4,155.0,104.75
INV000085,3,135.0,97.0
INV000086,4,102.0,66.5
INV000087,5,103.0,70.6
INV000088,1,54.0,54.0
INV000089,5,130.0,90.0
INV000090,2,148.0,116.0
INV000091,5,112.0,86.2
INV000092,2,225.0,171.0
INV000093,4,111.0,84.0
INV000094,4,173.0,90.0
INV000095,5,155.0,73.0
INV000097,5,183.0,80.2
INV000098,4,111.0,91.25
INV000099,3,178.0,94.0
INV000100,3,155.0,111.0
INV000101,5,102.0,77.2
INV000102,6,97.0,66.83333333333333
INV000103,4,137.0,93.5
INV000104,6,79.0,62.666666666666664
INV000105,5,87.0,67.4
INV000106,2,111.0,94.0
INV000107,1,138.0,138.0
INV000108,3,165.0,90.0
INV000109,5,63.0,57.4
INV000110,2,194.0,122.0
INV000111,1,205.0,205.0
INV000112,2,167.0,108.0
INV000113,4,144.0,94.25
INV000114,1,96.0,96.0
INV000115,5,136.0,94.0
INV000116,3,133.0,94.0
INV000117,4,124.0,80.0
INV000118,2,152.0,101.5
INV000119,1,142.0,142.0
INV000120,2,223.0,168.0
INV000121,3,170.0,133.66666666666666
INV000123,4,138.0,82.75
INV000124,3,210.0,139.66666666666666
INV000125,5,92.0,65.8
INV000126,2,258.0,192.5
INV000127,1,240.0,240.0
INV000128,4,129.0,85.75
INV000129,6,105.0,73.66666666666667
INV000130,5,97.0,56.4
INV000131,6,64.0,54.833333333333336
INV000132,3,125.0,89.66666666666667
INV000133,2,265.0,186.0
INV000134,2,106.0,87.0
INV000135,2,238.0,154.0
INV000137,5,73.0,58.2
INV000138,4,170.0,98.25
INV000140,3,157.0,119.33333333333333
INV000143,3,146.0,86.0
INV000144,3,193.0,112.0
INV000145,5,98.0,79.4
INV000146,3,109.0,93.33333333333333
INV000147,4,141.0,83.5
INV000148,4,168.0,91.0
INV000150,4,165.0,95.0
INV000151,4,115.0,82.0
INV000152,1,87.0,87.0
INV000153,2,93.0,90.0
INV000154,6,99.0,71.5
INV000155,4,163.0,89.5
INV000156,4,130.0,110.75
INV000158,4,118.0,89.25
INV000159,2,218.0,201.0
INV000160,3,143.0,93.0
INV000161,4,191.0,89.75
INV000162,1,435.0,435.0
INV000163,6,80.0,64.66666666666667
INV000164,2,208.0,124.5
INV000165,5,236.0,87.6
INV000166,3,253.0,154.66666666666666
INV000167,5,195.0,91.6
INV000168,2,320.0,192.0
INV000169,4,121.0,89.5
INV000171,3,103.0,86.66666666666667
INV000172,2,298.0,189.0
INV000173,3,156.0,80.66666666666667
INV000174,5,117.0,90.0
INV000175,5,150.0,87.4
INV000176,3,204.0,158.33333333333334
INV000177,4,210.0,90.75
INV000178,1,230.0,230.0
INV000179,2,85.0,62.0
INV000180,2,226.0,132.0
INV000181,3,264.0,125.66666666666667
INV000182,6,182.0,76.0
INV000183,4,177.0,87.25
INV000185,1,196.0,196.0
INV000186,1,121.0,121.0
INV000188,1,219.0,219.0
INV000189,5,120.0,91.6
INV000190,3,240.0,136.66666666666666
INV000191,5,85.0,73.0
INV000192,5,122.0,74.2
INV000193,4,208.0,100.5
